customer_id,orders_placed,products_purchased,amount_spent
11938,5,9,1139.8000373840332
2250,6,21,5009.450092315674
8440,5,17,4039.760108947754
9968,4,9,2399.780044555664
9715,5,18,4039.6800994873047
9978,6,13,2799.850040435791
2453,8,26,4594.470066070557
8484,6,15,2321.7200355529785
3506,6,25,5087.350067138672
8075,2,3,729.9500122070312
5409,5,14,2069.750045776367
9233,9,21,4169.500057220459
7225,4,8,2033.8100509643555
1806,8,24,5144.440105438232
10959,5,16,4039.6500549316406
9458,4,9,2174.770046234131
1950,7,16,3631.6100540161133
7279,4,9,1544.7400207519531
11945,4,15,4129.62007522583
2214,5,17,3629.600082397461
4590,6,20,3982.560043334961
5556,3,3,509.9500198364258
474,6,16,2590.6400394439697
2509,4,11,1659.840045928955
10871,3,5,649.9100151062012
10156,6,18,3959.5000801086426
9945,5,20,4231.560070037842
11190,4,13,2217.7600231170654
2927,8,23,4139.530059814453
11434,3,7,1699.8500442504883
12044,5,14,2966.6300659179688
3764,6,17,2797.6000366210938
1677,6,20,4269.630065917969
6721,5,17,3169.6300315856934
5385,2,6,1369.9200401306152
964,5,17,3741.520050048828
26,5,13,3209.8000869750977
2529,4,6,1609.8600463867188
11619,5,14,2689.6800537109375
3091,5,16,2584.6100273132324
7747,5,13,2679.8300399780273
11745,2,6,935.8200187683105
4823,4,12,2529.680046081543
11567,4,13,2629.8000411987305
29,2,5,1329.8700408935547
10422,2,4,1499.8600311279297
2040,2,4,874.890022277832
4894,2,7,1259.7200164794922
11276,1,1,150.0
11625,3,10,2549.8400650024414
1697,1,5,989.8700103759766
7544,6,16,3569.810089111328
11593,4,11,1807.6600303649902
12148,2,8,1469.7399978637695
1277,4,11,2091.7900466918945
7546,5,19,3563.580078125
1258,6,10,1849.740032196045
4126,6,20,3859.610065460205
7358,9,37,6754.210151672363
1224,3,11,1929.830020904541
5418,7,17,3490.5400981903076
9179,5,19,3819.6100692749023
3106,4,12,2234.5800247192383
5241,4,14,3439.670036315918
6892,6,15,3345.630058288574
1840,8,20,3719.7100982666016
11309,4,12,2309.8100547790527
7436,7,19,3774.3600215911865
6424,5,23,4475.210052490234
3061,5,12,2189.7600479125977
8305,3,9,1869.6400413513184
558,7,20,4179.650093078613
5759,6,25,3784.2700576782227
7130,4,11,1904.7800273895264
2812,5,14,3669.540069580078
418,3,9,1519.7800331115723
1010,5,14,2285.6600437164307
191,8,18,3389.620086669922
3280,7,24,5089.380100250244
6834,5,19,4474.490100860596
2173,4,7,1571.7300300598145
3015,3,9,1849.8200416564941
3391,5,17,3477.600082397461
10237,5,15,2749.7600593566895
65,6,19,3975.6200828552246
11270,2,6,1129.880012512207
541,4,10,1759.7900505065918
3800,8,27,6033.550155639648
3199,10,37,6828.070140838623
8092,2,5,889.9000205993652
2906,5,15,3495.600082397461
11771,4,13,3469.660087585449
5934,2,4,419.9700050354004
3009,2,3,599.9199981689453
2895,3,8,1709.7100219726562
11495,2,8,2199.8900604248047
9618,3,13,2355.7300357818604
6401,3,7,1239.9000358581543
8101,5,15,3529.68009185791
3806,3,10,1419.8000221252441
10889,1,4,1029.9100341796875
10636,6,22,3895.620101928711
9444,1,2,379.9100112915039
1360,1,5,999.8300323486328
11860,2,8,1775.8600425720215
2941,3,6,1569.8700523376465
